Feedback_ID,Student_ID,Faculty_ID,Subject_ID,Teaching,Communication,Practical,Notes,Interaction,Overall,Comment,Sentiment,Date
1788,ST0764,F003,SUB019,3,4,3,4,3,4,Average teaching experience.,Neutral,2025-02-28
4640,ST0786,F020,SUB027,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-08-27
326,ST0812,F030,SUB011,3,4,4,3,3,4,Average teaching experience.,Neutral,2025-04-24
4037,ST0910,F019,SUB004,4,4,4,4,4,4,Average teaching experience.,Neutral,2025-10-07
4630,ST0308,F014,SUB022,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-12-30
1756,ST0077,F026,SUB028,4,4,4,4,3,4,Average teaching experience.,Neutral,2025-07-22
1757,ST0871,F031,SUB026,4,3,4,3,3,4,Average teaching experience.,Neutral,2025-01-07
1764,ST0939,F007,SUB014,3,4,3,4,4,4,Average teaching experience.,Neutral,2025-01-28
1773,ST0566,F007,SUB016,4,3,3,4,4,4,Average teaching experience.,Neutral,2025-04-21
312,ST0901,F016,SUB013,3,3,4,4,4,3,Average teaching experience.,Neutral,2025-03-02
1823,ST0473,F019,SUB009,3,4,4,3,4,3,Average teaching experience.,Neutral,2025-01-26
1848,ST0794,F007,SUB027,4,3,3,4,3,3,Average teaching experience.,Neutral,2025-07-21
291,ST0405,F008,SUB011,4,4,4,3,3,4,Average teaching experience.,Neutral,2025-06-07
1876,ST0851,F036,SUB013,3,3,3,3,4,4,Average teaching experience.,Neutral,2025-07-17
1886,ST0600,F015,SUB017,3,4,3,3,4,4,Average teaching experience.,Neutral,2025-05-24
1892,ST0034,F016,SUB028,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-06-09
3415,ST0723,F017,SUB028,4,4,3,3,3,4,Average teaching experience.,Neutral,2025-03-29
1930,ST0209,F039,SUB009,3,4,3,3,3,3,Average teaching experience.,Neutral,2025-06-14
1719,ST0474,F015,SUB015,3,3,3,3,3,3,Average teaching experience.,Neutral,2025-12-25
4931,ST0047,F040,SUB015,3,4,3,4,3,3,Average teaching experience.,Neutral,2025-12-22
331,ST0573,F020,SUB023,4,4,3,4,4,4,Average teaching experience.,Neutral,2025-11-28
334,ST0581,F005,SUB002,4,4,3,3,3,3,Average teaching experience.,Neutral,2025-11-24
