id,text,sentiment,relevance,evaluation_type,source
sample_1,THANK YOU MA'AM,neutral,general,student,client
sample_2,"you did so well, iloveyou mowm marami kameng natutunan",positive,performance,student,client
sample_3,ty,neutral,general,student,client
sample_4,"I really appreciate the way she explain opur lesson, it makes it easier to understand",positive,performance,student,client
sample_5,she's good at teaching,positive,performance,student,client
sample_6,love you ma'am,positive,general,student,client
sample_7,"Best teacher, masipag at magaling magturo",positive,performance,student,client
sample_8,I LOVE U MA'AM JOY,positive,general,student,client
sample_9,"hi ma'am joy, best teacher ka po apaka bait mo ma'am I love you maam",positive,performance,student,client
sample_10,"Ingat ka palagi maam, you're the best teacher I've met. Thankyou po sa mga aral ingat palagi loveyah",positive,performance,student,client
sample_11,She really loves teaching PR. And we understand every lesson she gave. Well she's the kindest but she's also the fiercest when it comes to defense.,positive,performance,student,client
sample_12,sobrang galing mag turo lahat detalyado para mas maintindihan po namin lahat thankyouu maamm joyy ingat ka po palagi,positive,performance,student,client
sample_13,Ty po ma'am sa pag turo at pag guide sa amin sa pr at mag ingat sa sana sa journey mo po,positive,general,student,client
sample_14,all goods,positive,general,student,client
sample_15,"very cute and kind this teacher, di pinapabayaan yung student na maiwan sa lesson and magaling magexplain ng lesson",positive,performance,student,client
sample_16,I love you ma'am joy youre the best,positive,general,student,client
sample_17,"Hello ma'am Joy. I just want to say thankyou for everything that you've done for use, even though we are very silly u managed to control your temper on us. I hope that God will help you through your problem and thanks again. God bless you ma'am Joy.",positive,general,student,client
sample_18,Maganda si ma'am magturo at mabait hindi siya masungit o madamot sa mga bagay lab u maam joy!!,positive,performance,student,client
sample_19,love u mam,positive,general,student,client
sample_20,"speechless sa adviser ko, sobrang ganda pa",neutral,general,student,client
sample_21,"the best teacherrr of all timeee, we lovve you ma'am joy",positive,general,student,client
sample_22,pagmamahal na pinaramdan niya sa lahat ng mga naging student ay walang katumbas dahil ang pagmamahal nayun ay tunay tulad nang pagmamahal sa atin ng ating mga magulang,positive,general,student,client
sample_23,"kindness love u maam joy, sana mabasa mo 'to hehehe",positive,general,student,client
sample_24,"One of the best teacher starting in grade 11, the best pr teacher, very kind. I love you ma'am Joy",positive,general,student,client
sample_25,Iloveyouu ma'am thanks sa walang sawang pag unawa saming masisikip. Deserv moto dahil wala kang jowa since day one,positive,general,student,client
sample_26,VERY CUTE TEACHER MAGALING MAGTURO NANLILIBRE,positive,performance,student,client
sample_27,maganda,neutral,irrelevant,student,client
sample_28,maganda magturo si ma'am joy,positive,performance,student,client
sample_29,tinatama ng maayos kung ano yung dapat naming gawin sa aming title,positive,performance,student,client
sample_30,"THE BEST TEACHER MA""AM LIGAYA",positive,performance,student,client
sample_31,"She is the best teacher when It comes to teaching especially in PR subject, she knows what she need to do and I'm so glad she became our PR/II teacher.",positive,performance,student,client
sample_32,solid,neutral,irrelevant,student,client
sample_33,"I must say, best teacher of headwa",positive,performance,student,client
sample_34,good example every lesson,positive,performance,student,client
sample_35,.,neutral,irrelevant,student,client
sample_36,maam joyyy,neutral,irrelevant,student,client
sample_37,thankyou mam may natutunan ako sa reseach HAHAHAHA labyo,positive,general,student,client
sample_38,magaling magturo tsaka mabait,positive,performance,student,client
sample_39,The best to HAHAHA pagbutihin mo lang po yung ginagawa nyo,positive,general,student,client
sample_40,thankyousomuch ma'am sa pagtuturo at pag explain nang maayos at madali intindihin para samin loveyou!!,positive,general,student,client
sample_41,I hope all teachers have this skill the way how she teach to her students,positive,performance,student,client
sample_42,ambagood,neutral,irrelevant,student,client
sample_43,Ma'am you're the bestt,positive,general,student,client
sample_44,labu ma'am,neutral,irrelevant,student,client
sample_45,Mabait si ma'am,positive,performance,student,client
sample_46,hmm,neutral,irrelevant,student,client
sample_47,thankyou sa pag turo,neutral,general,student,client
sample_48,magaling magturo thank you mam,positive,performance,student,client
sample_49,lab u mam <3,positive,general,student,client
sample_50,kind,positive,performance,student,client
sample_51,Mabait siya,positive,performance,student,client
sample_52,I LOVE HERR >.<,positive,general,student,client
sample_53,veryyy good teacher iloveu maam wag mona po kame pahirapan kasi pagod na pagod naq maam pls,positive,general,student,client
sample_54,Marami pong salamat sa lahat ng pameryenda at mga tips po nung mga panahong nag ppractice po tayo ng battle of the bands,positive,general,student,client
sample_55,super galing mag turo,positive,performance,student,client
sample_56,Loveyouu ma'am,positive,general,student,client
sample_57,"well teaching, so knowledgable I love her teaching skills thanks",positive,performance,student,client
sample_58,xoxoxo,neutral,irrelevant,student,client
sample_59,THANK YOU FOR ALWAYS TEACHING US AND GIVING LIFE ADVICES 12-HE-E LOVES YOU SO MUCH MAAM JOYYY!!!,positive,general,student,client
sample_60,"She was a great teacher, she always guide us in doing the research",positive,performance,student,client
sample_61,Ang galing galing mo mama joyy,positive,general,student,client
sample_62,Super duper kindness,positive,performance,student,client
sample_63,Good very goods,positive,general,student,client
sample_64,10/10,positive,performance,student,client
sample_65,Sana makapasa sa PR,neutral,irrelevant,student,client
sample_66,goods na goods,positive,general,student,client
sample_67,MABAIT MAGANDA AT MABANGIZ,positive,general,student,client
sample_68,"mabait po siya sobra, ty",positive,performance,student,client
sample_69,Thankyou for teaching us,neutral,general,student,client
sample_70,Mabait,positive,performance,student,client
sample_71,Jog,neutral,irrelevant,student,client
sample_72,hehe,neutral,irrelevant,student,client
sample_73,Very good at teaching and very kind,positive,performance,student,client
sample_74,good and very kind,positive,performance,student,client
sample_75,ang galing magturo ni ma'am joy so much,positive,performance,student,client
sample_76,best teacherr loveu maem,positive,general,student,client
sample_77,favorite teacher,positive,general,student,client
sample_78,Loveyaa ma'am,positive,general,student,client
sample_79,napakabait at napakagaling na teacher si ma'am joy,positive,performance,student,client
sample_80,sobrang galing magturo,positive,performance,student,client
sample_81,ty ma'am,neutral,general,student,client
sample_82,ok po,neutral,general,student,client
sample_83,labu ma'am,positive,general,student,client
sample_84,Very good teacher,positive,performance,student,client
sample_85,good teaching and super ganda hehez,positive,performance,student,client
sample_86,Maganda teacher namin,positive,general,student,client
sample_87,"mabait, maganda, and masayahin",positive,performance,student,client
sample_88,Hi maam ligaya bait mo po thank you po sa grade hehe fav teacher hehe,positive,general,student,client
sample_89,Pero maam ligaya wag nio po sana kami pahirapan sa defense,neutral,general,student,client
sample_90,Mabait at Nag Guguide ng mga Katrabaho,positive,performance,peer,client
sample_91,"Magaling si sir sa kung ano ang forte nya, magaling rin makisama",positive,performance,peer,client
sample_92,Very Good Teacher,positive,performance,peer,client
sample_93,"Mabait, palakaibigan, palangit at skilled",positive,performance,peer,client
sample_94,Maaasahan sa trabaho,positive,performance,peer,client
sample_95,Nice,positive,general,peer,client
sample_96,Ok,neutral,general,peer,client
sample_97,Magaling magturo at marunong makisama,positive,performance,peer,client
sample_98,Good job!,positive,performance,peer,client
sample_99,Laging maaga pumasok ok nman magturo,positive,performance,peer,client
sample_100,Thank you sir,neutral,general,peer,client
sample_101,professional and down to earth,positive,performance,peer,client
sample_102,Great educator,positive,performance,peer,client
sample_103,"Isa sa pinakamalupet na teacher sa Headwa, kaso hindi appreciate masyado. Napakasipag mo si Boss David, sana Headwaters would be more appreciative sa mga loyal employees nila. God bless you Sir, Mahal ka namin. Love TL",positive,performance,peer,client
sample_104,"keep up the good work, lumalaban ng patas, Im so proud of u sir",positive,performance,peer,client
sample_105,Super bait at palaging nakasmile pag nakaksalubong A humble and very capable teacher,positive,performance,peer,client
sample_106,i'm disappointed pero i expected q naman haha dahil mura lng maganda sana pero,negative,general,general,tagasenti
sample_107,Hindi kapanipaniwala ang mga dahilan na ibinigay nila sa pagpupulong natin kahapon.,negative,general,general,tagasenti
sample_108,"Si Duterte, ala-Hitler; Walang alam si Grace; Binay, kurakot ang isyu",negative,general,general,tagasenti
sample_109,Napakagandang farewell album ito ng The Beatles mula pa noong 1970; naramdaman ko ulit dito yung magic ng early years nila kaya irerecommend ko ito.,positive,general,general,tagasenti
sample_110,di ko na gustuhan texture nya amoy chemical napakatagal dumating inorder ko nung aug10 dumating nasa sakin aug31 not recommend tong product nato parang parehas lang rin yung shade na binigay sakin di ako satisfied,negative,general,general,tagasenti
sample_111,Ang opisyal na resulta ng board exam ay dumating sa website ng PRC.,neutral,general,general,tagasenti
sample_112,good oks na sa price pwede na,neutral,general,general,tagasenti
sample_113,"its cute! comfy xa suotin at malambot. true to size din po ung sizing nia no need to adjust. tama din kulay pinadala ni seller, sayang nag order ndin sna ako ibng kulay. sulit po. thank u seller ambilis din dumating. buy na kau, ganda xa promise",positive,general,general,tagasenti
sample_114,super ganda i love it thankyou so much super ganda i love it thankyou so much super ganda i love it thankyou so much super ganda i love it thankyou so much super ganda i love it thankyou so muchsuper ganda i love its,positive,general,general,tagasenti
sample_115,"Pinatay agad ng agent yung tawag kahit nagpapaliwanag pa ako, napakabait at puno ng pasensya ng mga empleyado niyo.",negative,general,general,tagasenti
sample_116,"Nitong Sabado, inihayag din ni Jesus is Lord Movement leader Bro. Eddie Villanueva na sasabak sa 2010 elections ang binuo nilang partido na Bangon Pilipinas.",neutral,general,general,tagasenti
sample_117,Kailangan pa ba nilang magpadala ng written request?,neutral,general,general,tagasenti
sample_118,Nagpahayag din ng reserbasyon si Muntinlupa City Rep. Ruffy Biazon sa AM station ng MMDA dahil magiging duplikasyon umano ito ng radio station ng gobyerno.,neutral,general,general,tagasenti
sample_119,Wala bang batikos kay Mar Roxas? Lahat ng kalaban nya ay mayroon.,neutral,general,general,tagasenti
sample_120,"On Roxas saying it is down to him and Duterte: It is an inspiring race, anyone can decide.",positive,general,general,tagasenti
sample_121,sayang ang pera sayang ang pera nagmessage ako ky seller n make sure n wlang deffect ang item bgo i ship pero no response hndi rin nagsend ng picture bgo i ship pagdating ng item di gumagana nagmessage ako para sbihin n deffective ang item pero no response,negative,general,general,tagasenti
sample_122,maluwag na po yung mga garter parang mga nagamit or nasuot na po dapat po nacheck po mabuti kung hndi man po nagamit mukang mga binanat eh,negative,general,general,tagasenti
sample_123,"Ipinaliwanag ni Pangilinan na sa ilalim ng Saligang Batas, maaaring baguhin ang probisyon sa Konstitusyon sa paraan ng ConAss at Constitutional Convention (ConCon).",neutral,general,general,tagasenti
sample_124,Nakapagtala rin ang Phivolcs ng magnitude-3.2 aftershock dakong 7:01 am. Ang Intensity II na aftershock ay naramdaman sa bayan ng Pasuquin.,neutral,general,general,tagasenti
sample_125,Talagang walang disiplina ang mga driver nila kaya palaging naaksidente ang mga pampasaherong bus nila.,negative,general,general,tagasenti
sample_126,thank you po seller will order again hehe akala ko d aabot sa xmas my santa freebie pa salamat shopee,positive,general,general,tagasenti
sample_127,kulang ba to or di lang ako marunong mag set up and yung packaging parang straight kinuha sa basurahan,negative,general,general,tagasenti
sample_128,"Sa mga naunang panayam, inamin ni Aquino na siya ang madalas na sentro ng usapan sa reunion ng pamilya na laging natatanong kung kailan magpapakasal.",neutral,general,general,tagasenti
sample_129,Matagal na akong naghahanap ng pamalit at buti na lang hindi pumalya ang napili kong ito.,positive,general,general,tagasenti
sample_130,nagustuhan xa ng binigyan ko kya 5star hindi din masyado matagal dumating tnx seller nasunod un kulay na gusto ko since girl yun pqgbbigyan,positive,general,general,tagasenti
sample_131,"Tuwing umaga, itinaas ng mga mangingisda ang kanilang mga lambat.",neutral,general,general,tagasenti
sample_132,"nakakastress gamitin yung product, lagi siya nagsstop magisa tas hintayin mong gumana uli. already tried at 2 laptops, same experience.",negative,general,general,tagasenti
sample_133,"Binay: ""Tatanggalin natin ang corporate tax."" Magandang plano!",positive,general,general,tagasenti
sample_134,Partikular na inatasan ni Ferrer ang 6th Infantry (Kampilan) Division sa Socsksargen region na posibleng maging puntirya ng mga terorista.,negative,general,general,tagasenti
sample_135,The Standard: Update: Makati RTC issues warrant of arrest against Sen. Antonio Trillanes in connection with Binay’s libel suit.,neutral,general,general,tagasenti
sample_136,Matatakot lang ako sa delubyo if si Roxas or Binay mananalo. Pero kampante ako na hindi sila mananalo unlike before sa manok kong si Gibo.,negative,general,general,tagasenti
sample_137,"Maganda yung pantry, pero laging walang laman yung dispenser.",negative,general,general,tagasenti
sample_138,good condition yung item super cute and nice gumagana naman siya mukang na charge super lakas ng hangin mejo maingay lang pero okay lang basta gumagana naman nd pwede din sya lagyan ng battery and ying light nya ang cute hehe thank you,neutral,general,general,tagasenti
sample_139,nice quality maagang dumating yung bedsheet di bumukad masyado pru all in all ok sya,positive,general,general,tagasenti
sample_140,nakakatuwa first time ko mag order ng underwear via online i am not disappointed with its quality and number of items are assured by seller walang kulang sa items hehehe ang ganda din ng tela so comfy also okay naman ung delivery 1 week ang na take bago na deliver,positive,general,general,tagasenti
sample_141,Toyo't kalamansi lang daw kinakain ng taga-Makati bago dumating si Jojo Binay.,neutral,general,general,tagasenti
sample_142,yellow and purple sandals hindi pareho sa naka post na design,negative,general,general,tagasenti
sample_143,good for its price fast shipment understandable naman kung may defect or mga tastas kasi mura lang thank you god bless,neutral,general,general,tagasenti
sample_144,Confirm daw po. Tinanong si Binay kanina na kung may inindorso daw ba siya na Ampatuan. Wala daw sabi ni gago....,negative,general,general,tagasenti
sample_145,Pinayuhan din ni Kabalu ang militar na maglunsad kaagad ng rescue operation kung nakatitiyak sila sa kinaroroonan ng dinukot na pari.,neutral,general,general,tagasenti
sample_146,Ilabi na nga dili pa plantsado ang tanan hantud wala pa ang filing of certificate of candidacy.,neutral,general,general,tagasenti
sample_147,"Pinasagot niyo sa robot ang lahat ng tanong ko sa customer service chat, napaka-personal at may emosyon talagang makipag-ugnayan sa kumpanya ninyo.",negative,general,general,tagasenti
sample_148,Mabilis ang biyahe dahil hindi kami nakaranas ng anumang aberya sa kalsada.,positive,general,general,tagasenti
sample_149,Binayaran ko ang mabilis na shipping ngunit walang dumating na package sa bahay namin sa araw na iyon.,negative,general,general,tagasenti
sample_150,Kailangan bang nakasulat sa wikang Ingles ang liham na ipapasa?,neutral,general,general,tagasenti
sample_151,4/10 only left side lang ang may hangin. sa packaging it was secure naman pero bakit isang area lang ang humahangin???,negative,general,general,tagasenti
sample_152,"Bilib ako sa husay mong mangumbinsi na ikaw ang tama, napaniwala mo ang lahat na ako ang nanloko kahit ikaw ang nahuli sa akto.",negative,general,general,tagasenti
sample_153,Sobrang sakit sa ulo dahil di naman gumagana nang maayos ang bagong software na binili nila.,negative,general,general,tagasenti
sample_154,Sinabi ni Javier na ipadadala nila sa plenaryo ang panukala sa susunod na linggo upang aprubahan sa ikalawang pagbasa.,neutral,general,general,tagasenti
sample_155,"Binay: Aquino admin delivered many promises. Ports, airports, infra built for tourists.",positive,general,general,tagasenti
sample_156,ok naman pang lipstick na texture lam nyo na un pagpinunas mo yes matatanggal pero meron din konting magsstay siguradong my babakat na lipstick sa facemask mo para syang ordinary lipstick maganda ung color,neutral,general,general,tagasenti
sample_157,good wala lang syang plastic for each para malessen sana ung gusot sa edge part pero onti lang naman di naman big deal,neutral,general,general,tagasenti
sample_158,ok nman xa kaso lng ung isang box walang charger isa lng po ang free charger,neutral,general,general,tagasenti
sample_159,"VP Binay, binati si Duterte - spokesperson Pormal na umanong binati ni Vice President Jejomar Binay ang kanyang...",neutral,general,general,tagasenti
sample_160,"Ayon kay San Fernando Mayor Nanette Tansingco, ang mga labi ay nakita sa baybayin ng apat na bayan sa Romblon.",negative,general,general,tagasenti
sample_161,Ibang sagot sana ang sinulat ko sa test paper.,negative,general,general,tagasenti
sample_162,Abby Binay instructed by BEI to fall in line and wait for her turn to vote.,neutral,general,general,tagasenti
sample_163,not satisfied kulang ang binigay na ballpen dapat 40 pieces ang order ko pero 30 pieces lang ang dumating mali pa ang binigay na product na 10 pieces sad lang ako kasi ibebenta ko sana ito kaso kulang pa ng 10 pieces,negative,general,general,tagasenti
sample_164,sinukat ko sya need to edit hindi mo sya masusuot pang swimming gosh kitang kita yung padding hindi ko makuhanan nang pic kase parang bastusin,negative,general,general,tagasenti
sample_165,far from the size 36 tag 38.. nope 27 inches lng. nag try lang ako bumili kaya 2pcs lng binili ko.pero no way na uulitin pa.,negative,general,general,tagasenti
sample_166,mali ang size na dumating . nakaka dismaya . sana sa susunod check nio ng maayos ang order thank you pa rin kau kuya rider,negative,general,general,tagasenti
sample_167,Sino pa ba ang hahanapin ko kung dito pa lang ay imposibleng maghanap ka ng ibang mapupuntahan?,positive,general,general,tagasenti
sample_168,gray order ko black ang dumating pero ok lang ayos naman siya,neutral,general,general,tagasenti
sample_169,super ganda huhu ! sorry late rate medyo busy eh hihi bibili ako ulit kase kulang thanks selleeeer!!,positive,general,general,tagasenti
sample_170,Ikinuwento rin ni Kris ang ginawang pagbasbas ni Bishop Soc Villegas kay Gng Aquino na malapit na kaibigan umano ng pamilya.,positive,general,general,tagasenti
sample_171,too small size kahit nag size-up na. hindi accommodating na seller! kahit anong chat at inquire mo deadma ka! kahit isang reply wala. napakatagal pa bago iship! 7 days na after ko inorder nasa kanila pa rin ang item hindi pa naship. wag na kayo oorder dito!!!,negative,general,general,tagasenti
sample_172,juskooooo nung isang bwan ko pa to inorder ngayon lang dumating palibhasa binayaran ko na thru gcash nung pagka order ko pa lang omg,negative,general,general,tagasenti
sample_173,Walang kapagod-pagod ang kanilang mga tauhan sa pag-asikaso sa aming mga pangangailangan.,positive,general,general,tagasenti
sample_174,May komento tungkol kay Mar at kay Abby Binay.,neutral,general,general,tagasenti
sample_175,You get what you pay for dahil sayang lang talaga sa pera ang program! Masyadong low ang analysis at hindi niya nade-detect ang common errors.,negative,general,general,tagasenti
