Feedback_ID,Student_ID,Faculty_ID,Subject_ID,Teaching,Communication,Practical,Notes,Interaction,Overall,Comment,Sentiment,Date
1,ST0252,F032,SUB029,4,3,3,3,3,3,Need more examples.,Neutral,2025-03-16
2,ST0368,F029,SUB025,3,3,3,4,3,4,Average teaching experience.,Neutral,2025-06-13
3,ST0354,F038,SUB013,5,5,4,4,4,5,Excellent teaching and explanation.,Positive,2025-05-18
4,ST0719,F019,SUB020,5,4,5,5,4,4,Very interactive class.,Positive,2025-10-05
5,ST0291,F007,SUB011,5,4,4,5,5,4,Very interactive class.,Positive,2025-09-21
6,ST0927,F002,SUB024,5,4,5,4,4,4,Great practical sessions.,Positive,2025-02-12
7,ST0044,F040,SUB030,5,5,5,4,4,5,Great practical sessions.,Positive,2025-09-10
8,ST0940,F027,SUB013,4,5,4,5,5,4,Helpful and supportive faculty.,Positive,2025-10-27
9,ST0195,F012,SUB029,4,4,5,4,5,5,Concepts explained clearly.,Positive,2025-09-07
10,ST1000,F022,SUB012,3,4,3,3,3,4,Satisfactory explanation.,Neutral,2025-03-15
11,ST0795,F027,SUB015,5,4,4,4,5,5,Excellent teaching and explanation.,Positive,2025-12-01
12,ST0754,F025,SUB003,4,4,4,4,3,3,Satisfactory explanation.,Neutral,2025-07-24
13,ST0504,F002,SUB022,5,4,4,4,5,4,Concepts explained clearly.,Positive,2025-10-15
14,ST0414,F011,SUB005,4,4,4,4,5,4,Concepts explained clearly.,Positive,2025-06-25
15,ST0573,F021,SUB001,4,4,4,4,4,4,Satisfactory explanation.,Neutral,2025-03-05
16,ST0626,F001,SUB005,4,4,5,4,4,5,Great practical sessions.,Positive,2025-09-09
17,ST0707,F012,SUB018,4,4,4,5,5,5,Excellent teaching and explanation.,Positive,2025-06-15
18,ST0812,F016,SUB009,4,4,4,4,5,5,Great practical sessions.,Positive,2025-08-10
19,ST0654,F002,SUB025,5,4,4,4,4,4,Very interactive class.,Positive,2025-10-21
20,ST0074,F015,SUB007,3,4,4,4,3,3,Can improve interaction.,Neutral,2025-07-30
21,ST0780,F039,SUB004,4,3,3,3,3,4,Average teaching experience.,Neutral,2025-12-29
22,ST0302,F031,SUB020,3,3,3,3,3,3,Satisfactory explanation.,Neutral,2025-08-14
23,ST0511,F040,SUB012,5,4,4,5,4,5,Concepts explained clearly.,Positive,2025-03-14
24,ST0536,F030,SUB011,2,1,1,2,2,1,Needs improvement in teaching.,Negative,2025-10-08
