id,text,sentiment,relevance,evaluation_type,source,split_id
candidate_5279,mali ang size na dumating .. i ordered 2l black/gray and 850ml blue/orange pero ang dumating baliktad .. pero okay naman quality .. sana yun sunod na order ko tama na ang size ..,positive,general,general,tagasenti,train_1
candidate_2962,Naglaraw si Ylanan nga ipatawag ang babayeng higala ni Playda kinsa gikatahong katapusang nakauban sa tambalanan.,neutral,general,general,tagasenti,train_2
candidate_17779,"Putangina mo Binay! Laki sa hirap pero malaki ang gastos sa kampanya, tinatawag na desperado.",neutral,general,general,tagasenti,train_3
candidate_11001,"Dahil sa pagbuti ng panahon, sinabi ni Jose Midas Marquez, tagapagsalita ng Korte Suprema, na tuloy ang nakatakdang Bar examination sa Linggo (Oct 4).",neutral,general,general,tagasenti,train_4
candidate_11814,Inihayag ito ni Estrada nitong Miyerkules sa ikalawang araw ng pagpanaw ng kanyang ina dahil sa sakit sa edad na 103.,negative,general,general,tagasenti,train_5
candidate_14988,Apat na pulis ang ipinadala sa labas ng bangko upang magbantay.,neutral,general,general,tagasenti,train_6
candidate_27393,malakas 1 hour lang ginamit at di na gumana need icharge,neutral,general,general,tagasenti,train_7
candidate_4703,Bawat empleyado ay nakangiti kaya imposibleng may magreklamo sa pakikitungo nila sa mga kustomer.,positive,general,general,tagasenti,train_8
candidate_30139,Naging payapa ang umaga ko matapos matulog nang walong oras.,positive,general,general,tagasenti,train_9
candidate_21792,Yehey mag che-check in kami sa novotel dahil kay Mar Roxas!,positive,general,general,tagasenti,train_10
candidate_4363,"camel khaki inorder ko,dumating khaki ang seller dito hindi marunong magupdate kahit na iisa lang yung inorder ng customer sana next time wag mag marunong sa customer pakitriple check bago ibalot at iship ok",negative,general,general,tagasenti,train_11
candidate_26179,"journohalloweencostume ""Binay"" ""Gagi ang daya mo papasok ka lang na nakabarong tapos magka-kamay ng Jollibee take-out""",negative,general,general,tagasenti,train_12
candidate_17503,di halata na may mascara peru parang lumalabo kunti lang paningin ko .. makes your lashes long,positive,general,general,tagasenti,train_13
candidate_22692,"Matud ni Econg, misamot siya og kalibog human nadawat ang report niya gikan sa PASG 7.",neutral,general,general,tagasenti,train_14
candidate_32146,Hindi imposibleng hindi na naman tayo mapabilang sa listahan ng mga pasado.,negative,general,general,tagasenti,train_15
candidate_7345,"Binay at Roxas, manalo man o matalo, magsalita kayo para sa bayan.",positive,general,general,tagasenti,train_16
candidate_12399,Do you know that Binay's wealth came from his successful businesses and investments aside from his salary?,positive,general,general,tagasenti,train_17
candidate_30132,Maluwag ang avenue dahil walang nakaharang na sasakyan.,positive,general,general,tagasenti,train_18
candidate_18614,Para sa bayan! Solid Mar Roxas at Leni Robredo!,positive,general,general,tagasenti,train_19
candidate_8714,Bumagsak ang benta ng tindahan noong tag-ulan.,neutral,general,general,tagasenti,train_20
candidate_12895,Pagdating ng tanghali ay naubos na ang paninda sa palengke.,neutral,general,general,tagasenti,train_21
candidate_13048,Ang daming tao sa bahay ni Mar Roxas. Ang daming pulis,neutral,general,general,tagasenti,train_22
candidate_7533,"Binay visits LP mayor in Parañaque, accuses LP of vote-buying",neutral,general,general,tagasenti,train_23
candidate_18158,that's the reason he decided to run YET he only attacks Mar. Not GPL not Binay. as if Mar is his only rival. How much?,negative,general,general,tagasenti,train_24
candidate_18806,okay naman po yung items magaganda lahat ng quality except dun sa puti na tube parang nag transfer po yung kulay ng maroon di kasi nakahiwalay pag pack or atleast man lang sana yung puti inilagay sa separate na supot,neutral,general,general,tagasenti,train_25
candidate_34051,Hinati niya ang mga papeles sa dalawang folder.,neutral,general,general,tagasenti,train_26
candidate_29404,Naubusan na ng espasyo ang memory ng telepono ko kaya hindi ako maka-take ng video.,negative,general,general,tagasenti,train_27
candidate_11239,Napaka-stirring ng Basso Profundo at nagpaalala sa akin ng recording ng mga Tibetan monks sa chant na masayang pakinggan habang may malalim na kasamang pakiramdam.,positive,general,general,tagasenti,train_28
candidate_17568,Nakakadismaya dahil mahirap intindihin ang librong ito at ang daming characters pero walang action. Paulit-ulit akong nagbabasa kaya hindi ko na rin natapos.,negative,general,general,tagasenti,train_29
candidate_23308,i m just gonna use this when i m bringing a small bag i guess this is not usable during typhoons or heavy rain it even teared a little when i first opened it looks pretty fragile seems too pricey for its quality,negative,general,general,tagasenti,train_30
candidate_18418,Ang susi ng bagong bahay ay dumating kasama ng titulo ng lupa.,neutral,general,general,tagasenti,train_31
candidate_16017,Villar naalarma sa sunod-sunod na pagtumba sa miyembro ng NP,negative,general,general,tagasenti,train_32
candidate_28167,"3 stars lang, sobrang tagal ng delivery, d nyo agad ako ininform na out of stock ang designs na inorder ko, pinapili nyo uli ako pero d rin nasunod nakaka disappoint po tlga, parehong design pa ang dumating na dapat ay magkaiba, next time update your display para",negative,general,general,tagasenti,train_33
candidate_13464,thank you ulitkumpleto pa din mga order ko ang gaganda kaya dito na kayo magsipag order madaming product sa store nila,positive,general,general,tagasenti,train_34
candidate_9311,May banta laban kay Korina kung manalo si Roxas.,neutral,general,general,tagasenti,train_35
candidate_30335,Hindi ko sinasabing walang hirap sa proseso pero imposibleng hindi maging tumpak ang resulta kung walang shortcut na gagawin.,positive,general,general,tagasenti,train_36
candidate_1013,"Habang naglalaban si Duterte at Miriam, si Binay ay tahimik na umaangat, magaling!",positive,general,general,tagasenti,train_37
candidate_5794,Samantalang ititigil ng Smart Communication ang kanilang katulad na promo simila sa Disyembre 23.,neutral,general,general,tagasenti,train_38
candidate_8037,"Okay yung belt, pero parang ang nipis ng leather.",negative,general,general,tagasenti,train_39
candidate_21953,"May ad si Mar Roxas na nagsasabing hindi niya kayo nanakawan, tinawag itong bogus ng ilan.",neutral,general,general,tagasenti,train_40
candidate_2781,May panawagan na Duterte till the end at huwag mandaya ang mga dilaw.,neutral,general,general,tagasenti,train_41
candidate_14698,"Okay naman yung quality nitong kumot dahil malambot siya, kaso medyo mainit gamitin kapag walang aircon sa kwarto.",neutral,general,general,tagasenti,train_42
candidate_21668,ang pangiiiiiitttttttttttttttttttt one day ko pa lang nagamit nasira agaaaaaaaaaaaaaad,negative,general,general,tagasenti,train_43
candidate_4369,Nag-download ako ng pelikula kaya lang walang subtitle.,neutral,general,general,tagasenti,train_44
candidate_12299,"Gayunman, ikinalugod umano niya ang pakikisimpatiya ng mga Marcos sa pagpanaw ng kanyang inang si Gng Aquino.",positive,general,general,tagasenti,train_45
candidate_34711,Araw-araw bumabangon ang ating mga haligi ng tahanan upang maitaguyod ang kinabukasan ng pamilya.,neutral,general,general,tagasenti,train_46
candidate_27375,"""""We expect from our public officials high moral standards especially in relation to adhering to laws,"""" pahabol ng kongresista.",neutral,general,general,tagasenti,train_47
candidate_17485,"not good ndi maganda, kompara sa mga nauna ko ng naorder. nahiwalay ang 1st layer sa diaper",negative,general,general,tagasenti,train_48
candidate_11361,"Dahil ilang buwan ding naantala ang pagpapatupad ng desisyon ng HRET, kinasuhan si Nograles sa House Ethics Committee ni Atty. Sixto Brillanes.",negative,general,general,tagasenti,train_49
candidate_10621,bakit ganon pangalawa ko ng order to pero di ako ma satisfied ang liit ng cup nya kahit size 36 na yaw ko na pangalawang beses di ko na namn magagamit,negative,general,general,tagasenti,train_50
candidate_31338,Ang ugaling ningas-kugon ay hadlang sa pag-asenso ng isang empleyado.,negative,general,general,tagasenti,train_51
candidate_15153,MANILA - Makababalik na sa Pilipinas ang 26 sa 35 overseas Filipino workers (OFWs) na tatlong buwan umanong nagtrabaho sa Qatar na walang sahod.,positive,general,general,tagasenti,train_52
candidate_4777,"""Ni hindi ko kilala ang Dumlao (dating Senior Superintendent Glenn Dumlao) na 'yan, si Mancao 'di ko nakakausap 'yan,"" idinagdag niya.",neutral,general,general,tagasenti,train_53
candidate_13646,"Malinis yung Airbnb, iba lang sa pictures.",negative,general,general,tagasenti,train_54
candidate_2244,mabango thank you angganda sobra,positive,general,general,tagasenti,train_55
candidate_17494,What do you think of the chance encounter of Binay & Escudero in Cebu? + mother in law switch to Miriam,neutral,general,general,tagasenti,train_56
candidate_27317,"Worn out na agad itong product kaya sobrang rough na ngayon, kahit nung nakaraan lang ay soft at smooth pa siya nung matanggap ko.",negative,general,general,tagasenti,train_57
candidate_27041,Kahit anong pilit kong hanapan ng butas ay wala talaga akong maipintas.,positive,general,general,tagasenti,train_58
candidate_24218,ayos ah isang araw lang ang naorder ko sa inyo na keypad phone. hapon ko ginamit tapos pagka gising ng umaga kala ko lobat kasi naka off kya chinarge ko tpos after ilang minutes sinubukan ko iopen ayaw na.. sino ba naman matutuwa sayang lang pera ko. kainis 1st time,negative,general,general,tagasenti,train_59
candidate_23281,Ang kahon ng mga mansanas ay dumating mula sa Davao.,neutral,general,general,tagasenti,train_60
candidate_5750,MANILA - Sinibak ni Immigration Commissioner Marcelino Libanan nitong Huwebes ang isa niyang security aide na umanoy nanggulpi sa isang radio reporter.,negative,general,general,tagasenti,train_61
candidate_2427,Isa ito sa pinakamagandang libro na nabasa ko dahil napakaganda ng approach nila para maituro sa mga bata ang tungkol sa stranger danger.,positive,general,general,tagasenti,train_62
candidate_3624,"[PiliPinas] KBP/Bombo Radio partial and unofficial count: Rodrigo Duterte: 88,879 Mar Roxas: 64,606 Grace...",neutral,general,general,tagasenti,train_63
candidate_26456,got my orders completely kaso yung bakit parang di ko na search ang bluetooth name please help me how to use the black one that s it thank you,neutral,general,general,tagasenti,train_64
candidate_23871,"im not satisfied di katulad ng dati ang dumating ngaun, tingin ko di sya magttagal mas ok yong naunang na order ko mas matibay yong nauna",negative,general,general,tagasenti,train_65
candidate_16053,Ang mga testimonya ay suportado rin umano ng mga intelligence report at larawan.,neutral,general,general,tagasenti,train_66
candidate_33509,Hindi naiwan ng eroplano ang pamilya ko kahit late kami dumating sa airport.,positive,general,general,tagasenti,train_67
