sentence,label
i'm disappointed pero i expected q naman haha dahil mura lng maganda sana pero,0
Hindi kapanipaniwala ang mga dahilan na ibinigay nila sa pagpupulong natin kahapon.,0
"Si Duterte, ala-Hitler; Walang alam si Grace; Binay, kurakot ang isyu",0
Napakagandang farewell album ito ng The Beatles mula pa noong 1970; naramdaman ko ulit dito yung magic ng early years nila kaya irerecommend ko ito.,2
di ko na gustuhan texture nya amoy chemical napakatagal dumating inorder ko nung aug10 dumating nasa sakin aug31 not recommend tong product nato parang parehas lang rin yung shade na binigay sakin di ako satisfied,0
Ang opisyal na resulta ng board exam ay dumating sa website ng PRC.,1
good oks na sa price pwede na,1
"its cute! comfy xa suotin at malambot. true to size din po ung sizing nia no need to adjust. tama din kulay pinadala ni seller, sayang nag order ndin sna ako ibng kulay. sulit po. thank u seller ambilis din dumating. buy na kau, ganda xa promise",2
super ganda i love it thankyou so much super ganda i love it thankyou so much super ganda i love it thankyou so much super ganda i love it thankyou so much super ganda i love it thankyou so muchsuper ganda i love its,2
"Pinatay agad ng agent yung tawag kahit nagpapaliwanag pa ako, napakabait at puno ng pasensya ng mga empleyado niyo.",0
"Nitong Sabado, inihayag din ni Jesus is Lord Movement leader Bro. Eddie Villanueva na sasabak sa 2010 elections ang binuo nilang partido na Bangon Pilipinas.",1
Kailangan pa ba nilang magpadala ng written request?,1
Nagpahayag din ng reserbasyon si Muntinlupa City Rep. Ruffy Biazon sa AM station ng MMDA dahil magiging duplikasyon umano ito ng radio station ng gobyerno.,1
Wala bang batikos kay Mar Roxas? Lahat ng kalaban nya ay mayroon.,1
"On Roxas saying it is down to him and Duterte: It is an inspiring race, anyone can decide.",2
sayang ang pera sayang ang pera nagmessage ako ky seller n make sure n wlang deffect ang item bgo i ship pero no response hndi rin nagsend ng picture bgo i ship pagdating ng item di gumagana nagmessage ako para sbihin n deffective ang item pero no response,0
maluwag na po yung mga garter parang mga nagamit or nasuot na po dapat po nacheck po mabuti kung hndi man po nagamit mukang mga binanat eh,0
"Ipinaliwanag ni Pangilinan na sa ilalim ng Saligang Batas, maaaring baguhin ang probisyon sa Konstitusyon sa paraan ng ConAss at Constitutional Convention (ConCon).",1
Nakapagtala rin ang Phivolcs ng magnitude-3.2 aftershock dakong 7:01 am. Ang Intensity II na aftershock ay naramdaman sa bayan ng Pasuquin.,1
Talagang walang disiplina ang mga driver nila kaya palaging naaksidente ang mga pampasaherong bus nila.,0
thank you po seller will order again hehe akala ko d aabot sa xmas my santa freebie pa salamat shopee,2
kulang ba to or di lang ako marunong mag set up and yung packaging parang straight kinuha sa basurahan,0
"Sa mga naunang panayam, inamin ni Aquino na siya ang madalas na sentro ng usapan sa reunion ng pamilya na laging natatanong kung kailan magpapakasal.",1
Matagal na akong naghahanap ng pamalit at buti na lang hindi pumalya ang napili kong ito.,2
nagustuhan xa ng binigyan ko kya 5star hindi din masyado matagal dumating tnx seller nasunod un kulay na gusto ko since girl yun pqgbbigyan,2
"Tuwing umaga, itinaas ng mga mangingisda ang kanilang mga lambat.",1
"nakakastress gamitin yung product, lagi siya nagsstop magisa tas hintayin mong gumana uli. already tried at 2 laptops, same experience.",0
"Binay: ""Tatanggalin natin ang corporate tax."" Magandang plano!",2
Partikular na inatasan ni Ferrer ang 6th Infantry (Kampilan) Division sa Socsksargen region na posibleng maging puntirya ng mga terorista.,0
The Standard: Update: Makati RTC issues warrant of arrest against Sen. Antonio Trillanes in connection with Binay’s libel suit.,1
Matatakot lang ako sa delubyo if si Roxas or Binay mananalo. Pero kampante ako na hindi sila mananalo unlike before sa manok kong si Gibo.,0
"Maganda yung pantry, pero laging walang laman yung dispenser.",0
good condition yung item super cute and nice gumagana naman siya mukang na charge super lakas ng hangin mejo maingay lang pero okay lang basta gumagana naman nd pwede din sya lagyan ng battery and ying light nya ang cute hehe thank you,1
nice quality maagang dumating yung bedsheet di bumukad masyado pru all in all ok sya,2
nakakatuwa first time ko mag order ng underwear via online i am not disappointed with its quality and number of items are assured by seller walang kulang sa items hehehe ang ganda din ng tela so comfy also okay naman ung delivery 1 week ang na take bago na deliver,2
Toyo't kalamansi lang daw kinakain ng taga-Makati bago dumating si Jojo Binay.,1
yellow and purple sandals hindi pareho sa naka post na design,0
good for its price fast shipment understandable naman kung may defect or mga tastas kasi mura lang thank you god bless,1
Confirm daw po. Tinanong si Binay kanina na kung may inindorso daw ba siya na Ampatuan. Wala daw sabi ni gago....,0
Pinayuhan din ni Kabalu ang militar na maglunsad kaagad ng rescue operation kung nakatitiyak sila sa kinaroroonan ng dinukot na pari.,1
Ilabi na nga dili pa plantsado ang tanan hantud wala pa ang filing of certificate of candidacy.,1
"Pinasagot niyo sa robot ang lahat ng tanong ko sa customer service chat, napaka-personal at may emosyon talagang makipag-ugnayan sa kumpanya ninyo.",0
Mabilis ang biyahe dahil hindi kami nakaranas ng anumang aberya sa kalsada.,2
Binayaran ko ang mabilis na shipping ngunit walang dumating na package sa bahay namin sa araw na iyon.,0
Kailangan bang nakasulat sa wikang Ingles ang liham na ipapasa?,1
4/10 only left side lang ang may hangin. sa packaging it was secure naman pero bakit isang area lang ang humahangin???,0
"Bilib ako sa husay mong mangumbinsi na ikaw ang tama, napaniwala mo ang lahat na ako ang nanloko kahit ikaw ang nahuli sa akto.",0
Sobrang sakit sa ulo dahil di naman gumagana nang maayos ang bagong software na binili nila.,0
Sinabi ni Javier na ipadadala nila sa plenaryo ang panukala sa susunod na linggo upang aprubahan sa ikalawang pagbasa.,1
"Binay: Aquino admin delivered many promises. Ports, airports, infra built for tourists.",2
ok naman pang lipstick na texture lam nyo na un pagpinunas mo yes matatanggal pero meron din konting magsstay siguradong my babakat na lipstick sa facemask mo para syang ordinary lipstick maganda ung color,1
good wala lang syang plastic for each para malessen sana ung gusot sa edge part pero onti lang naman di naman big deal,1
ok nman xa kaso lng ung isang box walang charger isa lng po ang free charger,1
"VP Binay, binati si Duterte - spokesperson Pormal na umanong binati ni Vice President Jejomar Binay ang kanyang...",1
"Ayon kay San Fernando Mayor Nanette Tansingco, ang mga labi ay nakita sa baybayin ng apat na bayan sa Romblon.",0
Ibang sagot sana ang sinulat ko sa test paper.,0
Abby Binay instructed by BEI to fall in line and wait for her turn to vote.,1
not satisfied kulang ang binigay na ballpen dapat 40 pieces ang order ko pero 30 pieces lang ang dumating mali pa ang binigay na product na 10 pieces sad lang ako kasi ibebenta ko sana ito kaso kulang pa ng 10 pieces,0
sinukat ko sya need to edit hindi mo sya masusuot pang swimming gosh kitang kita yung padding hindi ko makuhanan nang pic kase parang bastusin,0
far from the size 36 tag 38.. nope 27 inches lng. nag try lang ako bumili kaya 2pcs lng binili ko.pero no way na uulitin pa.,0
mali ang size na dumating . nakaka dismaya . sana sa susunod check nio ng maayos ang order thank you pa rin kau kuya rider,0
Sino pa ba ang hahanapin ko kung dito pa lang ay imposibleng maghanap ka ng ibang mapupuntahan?,2
gray order ko black ang dumating pero ok lang ayos naman siya,1
super ganda huhu ! sorry late rate medyo busy eh hihi bibili ako ulit kase kulang thanks selleeeer!!,2
Ikinuwento rin ni Kris ang ginawang pagbasbas ni Bishop Soc Villegas kay Gng Aquino na malapit na kaibigan umano ng pamilya.,2
too small size kahit nag size-up na. hindi accommodating na seller! kahit anong chat at inquire mo deadma ka! kahit isang reply wala. napakatagal pa bago iship! 7 days na after ko inorder nasa kanila pa rin ang item hindi pa naship. wag na kayo oorder dito!!!,0
juskooooo nung isang bwan ko pa to inorder ngayon lang dumating palibhasa binayaran ko na thru gcash nung pagka order ko pa lang omg,0
Walang kapagod-pagod ang kanilang mga tauhan sa pag-asikaso sa aming mga pangangailangan.,2
May komento tungkol kay Mar at kay Abby Binay.,1
You get what you pay for dahil sayang lang talaga sa pera ang program! Masyadong low ang analysis at hindi niya nade-detect ang common errors.,0
Maging ang Seaoil ay magbabawas din umano ng 50 sentimos bawat litro ganap na 6 a.m. sa Biyernes. - GMANes.TV,2
"Ayon kay Estrada, ang isa nitong anak na tinamaan ng virus ay 19-anyos na babae at nag-aaral sa Dela Salle University, Taft. Ave., sa Maynila.",0
Hinihintay naman ang paliwanag ng tiyahin ng mga nasawi na si Giselle Billones na siyang pinagbilinan sa magkapatid tuwing umaalis ang kanilang mga magulang.,0
"3 patay, 5 sugatan sa 5 insidente ng sunog Metro Manila",0
not good wala tape paano magagamit matagal na nga ideliver di pa magagamit,0
"Mayo 16, ginhilanat ang ini, kag tungod doktor ang bata sini, insigida na nga gindala ini sa WVMC.",1
Light-hearted at fun-filled ang Last Holiday kaya nakakagaan ng feeling! Short and sweet pero ang ganda ng message na life is worth living talaga.,2
APEC 2015: Mag-ingat tayo sa laglag bala. Si Mar Roxas may mga kritisismo.,1
Napakagandang libro nito na maraming valuable information mula kay Kevin Roberts kaya i-check niyo ang Lovemarks dahil mahal ko talaga ang mga brands ko.,2
i like it so much thank u shopee mtagal dumating pero worth it nman i love it,2
"good quality, madaming sizes kaya makakapili ka ng fit sa fingers mo. thank you seller!",2
after 5 minutes of using eto na sya,0
"Babala sa mga kawatan na pulitiko Enrile, Binay, Honasan, Estrada, Escudero etc, Mother of all corruption VP Jojo Binay",0
high price low quality may sira ang napafala sakin ang chaka ng color,0
"Gumagana naman yung mga butones nitong cardigan nang maayos, kaso masyadong makati sa balat yung material niya kaya nakaka-distract.",1
"Ayon sa ulat ng isang himpilan sa radyo, tinangka mga mangingisda na sagipin ang dambuhalang isda kaya hinatak nila ito palapit sa breakwater.",2
just check my parcel okay na sana kaso sira pala ung inpods kala ko lowbat lang pero kahit charge na di parin gumagana not expecting much kasi nga mystery siya pero wag naman sanang sira at parang gamit na ung binibigay,0
"nice fan, kaso one hour lang sya gumagana. and then need to charge again… i will try icharge sya ng matagal if matagal din ba aandar. thank you so much.",2
"Sa hiwalay na ulat ng dzBB radio, sinabi ni Binay na ipinaalam na niya ang kanyang plano sa 2010 kay dating Pangulong Joseph Estrada.",1
"Wala nang tulugan to. Baka mapunta pa yung momentum kay roxas e, mahirap na!",0
ang liit nang sizes po kahit 40 41 ang liit size ko talaga 40 pero di kasya,0
Bakit mo ipagkakatiwala ang bansa sa isang babangon pa lang kung meron namang Mar Roxas na 20+ years nang naglilingkod sa bayan? Wag Poe,2
