id,comment,sentiment,relevance,source,evaluation_type
1,THANK YOU MA'AM,neutral,general,client,student
2,"you did so well, iloveyou mowm marami kameng natutunan",positive,performance,client,student
3,ty,netural,general,client,student
4,"I really appreciate the way she explain opur lesson, it makes it easier to understand",positive,performance,client,student
5,she's good at teaching,positive,performance,client,student
6,love you ma'am,positive,general,client,student
7,TEACHER LIGAYA MAG IINGAT KA PO SA MGA JOURNEY MO,-,irrelevant,client,student
8,"Best teacher, masipag at magaling magturo",positive,performance,client,student
9,I LOVE U MA'AM JOY,positive,general,client,student
10,"hi ma'am joy, best teacher ka po apaka bait mo ma'am I love you maam",positive,performance,client,student
11,"Ingat ka palagi maam, you're the best teacher I've met. Thankyou po sa mga aral ingat palagi loveyah",positive,performance,client,student
12,She really loves teaching PR. And we understand every lesson she gave. Well she's the kindest but she's also the fiercest when it comes to defense.,positive,performance,client,student
13,sobrang galing mag turo lahat detalyado para mas maintindihan po namin lahat thankyouu maamm joyy ingat ka po palagi,positive,performance,client,student
14,Ty po ma'am sa pag turo at pag guide sa amin sa pr at mag ingat sa sana sa journey mo po,positive,general,client,student
15,all goods,positive,general,client,student
16,"very cute and kind this teacher, di pinapabayaan yung student na maiwan sa lesson and magaling magexplain ng lesson",positive,performance,client,student
17,I love you ma'am joy youre the best,positive,general,client,student
18,"Hello ma'am Joy. I just want to say thankyou for everything that you've done for use, even though we are very silly u managed to control your temper on us. I hope that God will help you through your problem and thanks again. God bless you ma'am Joy.",positive,general,client,student
19, Maganda si ma'am magturo at mabait hindi siya masungit o madamot sa mga bagay lab u maam joy!!,positive,performance,client,student
20,love u mam,positive,general,client,student
21,"speechless sa adviser ko, sobrang ganda pa",neutral,general,client,student
22,"the best teacherrr of all timeee, we lovve you ma'am joy",positive,general,client,student
23,pagmamahal na pinaramdan niya sa lahat ng mga naging student ay walang katumbas dahil ang pagmamahal nayun ay tunay tulad nang pagmamahal sa atin ng ating mga magulang,positive,general,client,student
24,"kindness love u maam joy, sana mabasa mo 'to hehehe",positive,general,client,student
25,"One of the best teacher starting in grade 11, the best pr teacher, very kind. I love you ma'am Joy",positive,general,client,student
26,Iloveyouu ma'am thanks sa walang sawang pag unawa saming masisikip. Deserv moto dahil wala kang jowa since day one,positive,general,client,student
27,VERY CUTE TEACHER MAGALING MAGTURO NANLILIBRE,positive,performance,client,student
28,maganda,neutral,irrelevant,client,student
29,maganda magturo si ma'am joy,positive,performance,client,student
30,tinatama ng maayos kung ano yung dapat naming gawin sa aming title,positive,performance,client,student
31,"THE BEST TEACHER MA""AM LIGAYA",positive,performance,client,student
32,"She is the best teacher when It comes to teaching especially in PR subject, she knows what she need to do and I'm so glad she became our PR/II teacher.",positive,performance,client,student
33,solid,neutral,irrelevant,client,student
34,"I must say, best teacher of headwa",positive,performance,client,student
35,good example every lesson,positive,performance,client,student
36,.,neutral,irrelevant,client,student
37,maam joyyy,neutral,irrelevant,client,student
38,thankyou mam may natutunan ako sa reseach HAHAHAHA labyo,positive,general,client,student
39,magaling magturo tsaka mabait,positive,performance,client,student
40,The best to HAHAHA pagbutihin mo lang po yung ginagawa nyo ,positive,general,client,student
41,thankyousomuch ma'am sa pagtuturo at pag explain nang maayos at madali intindihin para samin loveyou!!,positive,general,client,student
42,I hope all teachers have this skill the way how she teach to her students,positive,performance,client,student
43,ambagood,neutral,irrelevant,client,student
44,Ma'am you're the bestt,positive,general,client,student
45,labu ma'am,neutral,irrelevant,client,student
46,Mabait si ma'am,positive,performance,client,student
47,hmm,neutral,irrelevant,client,student
48,thankyou sa pag turo,neutral,general,client,student
49,magaling magturo thank you mam,positive,performance,client,student
50,lab u mam <3,positive,general,client,student
51,kind ,positive,performance,client,student
52,Mabait siya,positive,performance,client,student
53,I LOVE HERR >.<,positive,general,client,student
54,veryyy good teacher iloveu maam wag mona po kame pahirapan kasi pagod na pagod naq maam pls,positive,general,client,student
55,Marami pong salamat sa lahat ng pameryenda at mga tips po nung mga panahong nag ppractice po tayo ng battle of the bands,positive,general,client,student
56,super galing mag turo,positive,performance,client,student
57,Loveyouu ma'am,positive,general,client,student
58,"well teaching, so knowledgable I love her teaching skills thanks",positive,performance,client,student
59,xoxoxo,neutral,irrelevant,client,student
60,THANK YOU FOR ALWAYS TEACHING US AND GIVING LIFE ADVICES 12-HE-E LOVES YOU SO MUCH MAAM JOYYY!!!,positive,general,client,student
61,"She was a great teacher, she always guide us in doing the research",positive,performance,client,student
62,Ang galing galing mo mama joyy,positive,general,client,student
63,Super duper kindness,positive,performance,client,student
64,all goods,positive,general,client,student
65,Good very goods,positive,general,client,student
66,10/10,positive,performance,client,student
67,Sana makapasa sa PR,neutral,irrelevant,client,student
68,goods na goods,positive,general,client,student
69,MABAIT MAGANDA AT MABANGIZ,positive,general,client,student
70,"mabait po siya sobra, ty",positive,performance,client,student
71,Thankyou for teaching us,neutral,general,client,student
72,Mabait,positive,performance,client,student
73,Jog,neutral,irrelevant,client,student
74,hehe,neutral,irrelevant,client,student
75,Very good at teaching and very kind,positive,performance,client,student
76,good and very kind,positive,performance,client,student
77,Mabait,positive,performance,client,student
78,ang galing magturo ni ma'am joy so much,positive,performance,client,student
79,best teacherr loveu maem,positive,general,client,student
80,favorite teacher,positive,general,client,student
81,Loveyaa ma'am,positive,general,client,student
82,napakabait at napakagaling na teacher si ma'am joy,positive,performance,client,student
83,sobrang galing magturo,positive,performance,client,student
84,ty ma'am,neutral,general,client,student
85,ok po,neutral,general,client,student
86,labu ma'am,positive,general,client,student
87,Very good teacher,positive,performance,client,student
88,good teaching and super ganda hehez,positive,performance,client,student
89,Maganda teacher namin,positive,general,client,student
90,"mabait, maganda, and masayahin",positive,performance,client,student
91,Hi maam ligaya bait mo po thank you po sa grade hehe fav teacher hehe,positive,general,client,student
92,Pero maam ligaya wag nio po sana kami pahirapan sa defense,neutral,general,client,student
93,Mabait at Nag Guguide ng mga Katrabaho,positive,performance,client,peer
94,"Magaling si sir sa kung ano ang forte nya, magaling rin makisama",positive,performance,client,peer
95,Very Good Teacher,positive,performance,client,peer
96,"Mabait, palakaibigan, palangit at skilled",positive,performance,client,peer
97,Maaasahan sa trabaho,positive,performance,client,peer
98,Nice,positive,general,client,peer
99,Ok,neutral,general,client,peer
100,Magaling magturo at marunong makisama,positive,performance,client,peer
101,Good job!,positive,performance,client,peer
102,Laging maaga pumasok ok nman magturo,positive,performance,client,peer
103,Thank you sir,neutral,general,client,peer
104,Nice,positive,general,client,peer
105,professional and down to earth,positive,performance,client,peer
106,Great educator,positive,performance,client,peer
107,"Isa sa pinakamalupet na teacher sa Headwa, kaso hindi appreciate masyado. Napakasipag mo si Boss David, sana Headwaters would be more appreciative sa mga loyal employees nila. God bless you Sir, Mahal ka namin. Love TL",positive,performance,client,peer
108,"keep up the good work, lumalaban ng patas, Im so proud of u sir",positive,performance,client,peer
109,Super bait at palaging nakasmile pag nakaksalubong A humble and very capable teacher,positive,performance,client,peer
