text,sentiment
20 meters po inorder ko yung isang 5meters po hindi gumagana sayang kay 3 star lang ibibigay ko,neutral
20 meters po inorder ko yung isang 5meters po hindi gumagana sayang kay 3 star lang ibibigay ko,positive
3 star lang kasi wala namang pang usb charger parang 2 in 1 lang to walang usb sa taas ng humidifier ok naman sya working oero walang usb sa taas nya,positive
3 star lang kasi wala namang pang usb charger parang 2 in 1 lang to walang usb sa taas ng humidifier ok naman sya working oero walang usb sa taas nya,neutral
7 ibang iba sa picture pero thank seller,neutral
7 ibang iba sa picture pero thank seller,positive
": Toni: ""Ano ang katangian niyo kung kaya't dapat kayong maging Big Winner?"" Binay: ""Nognog, pandak, at laki sa hirap.""",negative
": Toni: ""Ano ang katangian niyo kung kaya't dapat kayong maging Big Winner?"" Binay: ""Nognog, pandak, at laki sa hirap.""",neutral
"Hell, no. I mean no to Binay. And no to hell too. Wait, I am blabbing. Blame Binay.",negative
"Hell, no. I mean no to Binay. And no to hell too. Wait, I am blabbing. Blame Binay.",neutral
"I warn you Miriam, you're falling down.",negative
"I warn you Miriam, you're falling down.",neutral
Only Binay can irritate me this much.,negative
Only Binay can irritate me this much.,neutral
"Toni: ""Ano ang katangian niyo kung kaya't dapat kayong maging Big Winner?"" Binay: ""Nognog, pandak, at laki sa hirap.""",negative
"Toni: ""Ano ang katangian niyo kung kaya't dapat kayong maging Big Winner?"" Binay: ""Nognog, pandak, at laki sa hirap.""",neutral
all goods naman sya maganda kahit maliit kaso napakatagal ideliver jan 1 ako nagorder pero kakarating lng ngayon jan 12 na dapat kahapon dumating,neutral
all goods naman sya maganda kahit maliit kaso napakatagal ideliver jan 1 ako nagorder pero kakarating lng ngayon jan 12 na dapat kahapon dumating,positive
ang luwag haha ang laki pala niya parang kasya pa isang tao di ko sure if ganun talag style pero maganda namab quality un lang medyo super luwag,neutral
ang luwag haha ang laki pala niya parang kasya pa isang tao di ko sure if ganun talag style pero maganda namab quality un lang medyo super luwag,positive
anlaki ng expectations ko kala ko malakas medj mahina siya need mo lang idikit ng sobra sa muka para mahanginan,positive
anlaki ng expectations ko kala ko malakas medj mahina siya need mo lang idikit ng sobra sa muka para mahanginan,neutral
ayon maganda siya tingnan kaso hindi pantay yung heels niya napansin ko lang kaya tabingi yung lakad ko tapos nung tiningnan ko hindi siya pantay saka masyado siyang masikip kahit 39 ako nag up ako ng 41 masikip paren and guys look kayo sa ibang products ng shop nila maraming,positive
ayon maganda siya tingnan kaso hindi pantay yung heels niya napansin ko lang kaya tabingi yung lakad ko tapos nung tiningnan ko hindi siya pantay saka masyado siyang masikip kahit 39 ako nag up ako ng 41 masikip paren and guys look kayo sa ibang products ng shop nila maraming,neutral
ayos namn yung parcel mabilis lng den dumating kaso kulang yung nadiliver pero bka after 2 days ibabalik namn yung pinambayad kodon sa kulang na binigay ni refund ko nalng good quality nadenn yung nga lng kulang tlga eh 6pcs eyeliner yon waiting po ulet ako sa stocks,neutral
ayos namn yung parcel mabilis lng den dumating kaso kulang yung nadiliver pero bka after 2 days ibabalik namn yung pinambayad kodon sa kulang na binigay ni refund ko nalng good quality nadenn yung nga lng kulang tlga eh 6pcs eyeliner yon waiting po ulet ako sa stocks,positive
bakit kakaiba po yung mga scents ng pabango niyo hindi po kaamoy ng mga inspired perfumes lalo na yunh cucumber melon parang amoy damo,positive
bakit kakaiba po yung mga scents ng pabango niyo hindi po kaamoy ng mga inspired perfumes lalo na yunh cucumber melon parang amoy damo,neutral
baliko po sya pero yung sa una kong order hindu naman ganun pero goods naman po inayos ko nalang,neutral
baliko po sya pero yung sa una kong order hindu naman ganun pero goods naman po inayos ko nalang,positive
basta wag si Binay or Roxas. Ok na kahit sino sa tatlo.,negative
basta wag si Binay or Roxas. Ok na kahit sino sa tatlo.,neutral
bilis dumating super kaso ampanget nung packaging halos bukas na yung box tapos nagsstuck dun sa clip yong bottom part nong lens pero ayos naman siguro waha thanks,neutral
bilis dumating super kaso ampanget nung packaging halos bukas na yung box tapos nagsstuck dun sa clip yong bottom part nong lens pero ayos naman siguro waha thanks,positive
cra ung pangsaksak nya buti my extra kming ganon,neutral
cra ung pangsaksak nya buti my extra kming ganon,positive
d maxadong maganda ung klse ng bra napaka nipis ng foam but it was good for the prize,neutral
d maxadong maganda ung klse ng bra napaka nipis ng foam but it was good for the prize,positive
d q pa nagagamit pero parang ordinary lang na salamin eh,neutral
d q pa nagagamit pero parang ordinary lang na salamin eh,positive
dami q n naorder n bra ok nman pero un deliver ngaun maliit ang isa pareho size 40 order q dumating 34 ang isa maliit,positive
dami q n naorder n bra ok nman pero un deliver ngaun maliit ang isa pareho size 40 order q dumating 34 ang isa maliit,neutral
